"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.541818333E-1,3.045054203E0,6.708194768E-1,1.566619931E0,3.489505965E0
9.641518333E-1,2.672324903E0,1.819305602E-1,5.947746831E-1,2.743752183E0
9.741218333E-1,3.162536752E0,-6.801951948E-1,4.079660833E-2,3.235114925E0
9.840928333E-1,3.323287235E0,-1.066710475E0,-1.347304321E0,3.741301675E0
9.940628333E-1,2.419705014E0,-1.392933945E0,-2.686975687E0,3.874929118E0
1.004032833E0,1.493130371E0,-1.527448411E0,-3.518484251E0,4.116098684E0
1.014003833E0,1.008799797E0,-1.242329989E0,-3.600562786E0,3.940192027E0
1.023973833E0,1.927941314E0,-8.565397637E-1,-3.169113700E0,3.807085463E0
1.033943833E0,4.245292572E0,-4.654225785E-1,-1.982330652E0,4.708371482E0
1.043914833E0,6.397631603E0,1.000110689E-1,-2.502801257E-1,6.403306372E0
1.053884833E0,8.012702733E0,1.069324180E0,3.769740862E-1,8.092525487E0
1.063854833E0,8.422384974E0,2.850355078E0,-2.608442903E-2,8.891668748E0
1.073824833E0,7.836107465E0,2.717852494E0,-6.746920878E-1,8.321448900E0
1.083795833E0,4.317916160E0,1.213373116E0,-4.247031534E-1,4.505224417E0
1.093765833E0,1.483090117E0,4.123579270E-1,3.646060556E-1,1.581939610E0
1.103735833E0,5.183556676E-3,1.286836217E-1,1.316110010E0,1.322396273E0
1.113706833E0,-7.423227382E-1,-5.265753910E-2,2.206216446E0,2.328348529E0
1.123676833E0,-9.845214272E-1,1.162063944E-1,3.228196306E0,3.376986491E0
1.133646833E0,-2.331869602E0,4.524867833E-2,2.452373700E0,3.384346325E0
1.143617833E0,-4.036731745E0,-3.198596531E-1,2.274513094E0,4.644450796E0
1.153587833E0,-5.227728882E0,-3.788779396E-1,2.212178267E0,5.689150239E0
1.163557833E0,-5.776401778E0,-4.063040122E-1,1.791557055E0,6.061483080E0
1.173527833E0,-4.718166257E0,-7.174314335E-1,1.270287135E0,4.938565591E0
1.183498833E0,-2.903406866E0,-4.885068011E-1,-5.015069157E-1,2.986623429E0
1.193468833E0,-1.212657562E0,2.059287904E0,-5.762121123E0,6.238048162E0
1.203438833E0,1.831936172E0,3.213760408E0,-2.650198454E0,4.550582155E0
1.213409833E0,3.494335835E0,4.224899822E-1,4.573278978E0,5.770941112E0
1.223379833E0,3.460703820E0,-9.782415175E-1,5.008146054E0,6.165626837E0
1.233349833E0,2.594021915E0,-2.291515043E-1,3.915099427E0,4.702070143E0
1.243320833E0,6.035589552E-1,1.400174114E0,5.711941488E0,5.911941011E0
1.253290833E0,-3.531075060E-2,1.701555396E0,5.919825792E0,6.159616467E0
1.263260833E0,2.263793394E0,1.077687745E0,1.997867289E0,3.205876652E0
1.273231833E0,4.532138845E0,4.422541559E-3,-4.635754430E-1,4.555787996E0
1.283201833E0,3.571985689E0,-3.885303770E-1,4.006213957E-1,3.615319505E0
1.293171833E0,1.670305098E0,2.250757027E-1,1.703381043E0,2.396264837E0
1.303141833E0,-1.175518388E-1,1.348224819E0,3.836372808E0,4.068081233E0
1.313112833E0,-3.043883883E0,2.462418924E0,6.279261739E0,7.399855677E0
1.323082833E0,-5.428489523E0,3.218923792E0,6.990130550E0,9.417637389E0
1.333052833E0,-6.206711242E0,3.532126974E0,6.535596072E0,9.680557908E0
1.343023833E0,-5.357872699E0,3.942112978E0,5.430607384E0,8.587115416E0
1.352993833E0,-3.584784660E0,4.578500541E0,3.559042293E0,6.817633776E0
1.362963833E0,-2.521463231E0,4.981959883E0,1.194347591E0,5.710005890E0
1.372934833E0,-2.502325294E0,5.112901846E0,-3.173014963E-1,5.701234726E0
1.382904833E0,-2.441963902E0,3.984322859E0,-1.778128924E0,4.999975881E0
1.392874833E0,-4.730562354E0,2.033045454E0,-4.171037026E0,6.626389958E0
1.402844833E0,-6.733501518E0,2.626870987E0,-4.288279547E0,8.404155838E0
1.412815833E0,-5.240797409E0,4.243051626E0,-1.046001391E0,6.823749958E0
1.422785833E0,-1.390130498E0,3.598696355E0,3.374360910E0,5.125367285E0
1.432755833E0,5.232228899E-1,3.404574058E0,3.301520391E0,4.771260169E0
1.442726833E0,3.901664572E0,4.796755174E0,1.433981107E0,6.347294577E0
1.452696833E0,2.642730390E0,1.578496796E0,-8.287948716E-1,3.187879701E0
1.462666833E0,2.056073982E-1,-6.514216313E-1,-3.808571051E0,3.869345939E0
1.472637833E0,1.530573601E0,-2.220033417E0,-6.647467926E0,7.173564926E0
1.482607833E0,3.424963299E0,-2.862649726E0,-7.282390176E0,8.541565649E0
1.492577833E0,5.130089736E0,-5.432351609E0,-6.924856328E0,1.018734018E1
1.502548833E0,7.358931398E0,-4.917352243E0,-5.247743316E0,1.028946230E1
1.512518833E0,8.734904618E0,-5.074338874E0,-2.356836628E0,1.037314574E1
1.522488833E0,9.836604831E0,-7.749934124E0,-6.286072576E-1,1.253855736E1
1.532458833E0,7.121686471E0,-9.248873704E0,-4.679222631E-1,1.168242416E1
1.542429833E0,4.809541281E0,-8.502419323E0,-9.123743874E-1,9.810975930E0
